temperature_bottom	temperature_top	temperature_spiral_middle_outlet	temperature_spiral_edge_outlet	voltage	current	European_standard_time_date	European_standard_time_of_day	time_t
82.46	95.55	63.67	29.1	15.86	0.19285	2.9.2015	05:18:35	1441171115
82.64	95.86	64.36	28.61	15.89	0.19325	2.9.2015	05:18:36	1441171116
82.09	95.73	64.26	29.3	15.88	0.19332	2.9.2015	05:18:37	1441171117
82.2	95.62	64.36	29.88	15.87	0.19254	2.9.2015	05:18:38	1441171118
82.07	95.75	64.26	28.61	15.9	0.19261	2.9.2015	05:18:39	1441171119
82.02	96.01	63.48	28.91	15.87	0.1936	2.9.2015	05:18:40	1441171120
81.98	96.68	64.36	29.3	15.9	0.19304	2.9.2015	05:18:42	1441171122
81.85	95.93	65.82	28.22	15.88	0.19289	2.9.2015	05:18:43	1441171123
82.12	95.96	64.94	29.49	15.89	0.19258	2.9.2015	05:18:44	1441171124
82.91	96.07	64.75	29.49	15.89	0.1931	2.9.2015	05:18:45	1441171125
82.48	95.82	64.84	29.49	15.87	0.19253	2.9.2015	05:18:46	1441171126
83.14	95.6	65.04	28.61	15.88	0.19289	2.9.2015	05:18:47	1441171127
82.05	95.71	65.72	29.79	15.9	0.1928	2.9.2015	05:18:48	1441171128
81.29	96.48	63.96	28.91	15.9	0.19178	2.9.2015	05:18:50	1441171130
82.01	95.97	65.04	29.69	15.91	0.19268	2.9.2015	05:18:51	1441171131
82.18	95.79	65.33	31.35	15.89	0.19337	2.9.2015	05:18:52	1441171132
81.93	95.75	64.75	28.42	15.93	0.19344	2.9.2015	05:18:53	1441171133
81.68	95.85	64.16	29.2	15.91	0.19268	2.9.2015	05:18:54	1441171134
81.76	96.11	66.02	30.18	15.92	0.1922	2.9.2015	05:18:55	1441171135
81.72	95.59	65.53	29.59	15.92	0.19202	2.9.2015	05:18:57	1441171137
81.82	95.54	65.23	29.3	15.91	0.19247	2.9.2015	05:18:58	1441171138
82.14	95.46	66.8	29.39	15.92	0.19195	2.9.2015	05:18:59	1441171139
81.21	95.39	65.72	28.03	15.91	0.19224	2.9.2015	05:19:00	1441171140
81.67	95.53	66.41	30.96	15.93	0.19211	2.9.2015	05:19:01	1441171141
81.18	95.41	66.5	30.96	15.93	0.19196	2.9.2015	05:19:02	1441171142
81.46	95.6	66.99	28.12	15.91	0.19263	2.9.2015	05:19:04	1441171144
81.35	95.36	65.82	28.61	15.92	0.19281	2.9.2015	05:19:05	1441171145
81.45	95.83	66.02	29.98	15.91	0.1918	2.9.2015	05:19:06	1441171146
81.76	95.96	66.21	27.25	15.91	0.19189	2.9.2015	05:19:07	1441171147
81.58	95.63	67.58	28.42	15.93	0.1935	2.9.2015	05:19:08	1441171148
81.31	95.27	66.8	28.71	15.92	0.19254	2.9.2015	05:19:09	1441171149
81.86	95	65.33	28.91	15.9	0.19363	2.9.2015	05:19:10	1441171150
81.96	94.7	65.43	29.59	15.92	0.19321	2.9.2015	05:19:12	1441171152
81.98	94.25	66.21	29.39	15.89	0.19343	2.9.2015	05:19:13	1441171153
82.42	93.95	65.43	28.71	15.88	0.19403	2.9.2015	05:19:14	1441171154
81.4	94.29	66.41	29	15.91	0.19357	2.9.2015	05:19:15	1441171155
82.38	94.5	66.21	29.3	15.9	0.19336	2.9.2015	05:19:16	1441171156
82.12	94.45	65.23	29	15.9	0.19321	2.9.2015	05:19:17	1441171157
82.08	94.86	66.6	29.3	15.92	0.19358	2.9.2015	05:19:19	1441171159
81.36	94.67	66.8	28.22	15.9	0.19276	2.9.2015	05:19:20	1441171160
82.2	94.42	66.11	29.39	15.93	0.19361	2.9.2015	05:19:21	1441171161
81.97	94.74	65.04	29.1	15.91	0.19314	2.9.2015	05:19:22	1441171162
82.42	94.79	66.41	29.39	15.91	0.19227	2.9.2015	05:19:23	1441171163
82.42	94.67	66.5	28.12	15.94	0.1928	2.9.2015	05:19:24	1441171164
82.42	94.87	66.99	29.1	15.91	0.19309	2.9.2015	05:19:25	1441171165
82.71	95.03	66.21	29.39	15.91	0.19333	2.9.2015	05:19:27	1441171167
81.97	94.73	66.31	28.81	15.92	0.19316	2.9.2015	05:19:28	1441171168
82.03	94.85	66.8	29	15.9	0.19326	2.9.2015	05:19:29	1441171169
81.87	94.91	66.31	29.1	15.92	0.19338	2.9.2015	05:19:30	1441171170
82.21	94.22	65.82	28.81	15.91	0.19346	2.9.2015	05:19:31	1441171171
81.4	94.17	66.6	28.52	15.89	0.19363	2.9.2015	05:19:32	1441171172
81.55	94.61	66.6	29.2	15.92	0.193	2.9.2015	05:19:34	1441171174
81.62	94.32	66.02	28.52	15.89	0.19358	2.9.2015	05:19:35	1441171175
82.14	94.4	66.21	29.49	15.9	0.19279	2.9.2015	05:19:36	1441171176
81.49	94.12	66.5	28.71	15.92	0.19331	2.9.2015	05:19:37	1441171177
81.91	94.02	66.5	28.71	15.9	0.19381	2.9.2015	05:19:38	1441171178
80.95	94.22	66.5	28.71	15.9	0.1935	2.9.2015	05:19:39	1441171179
81.52	93.93	66.41	28.61	15.94	0.19353	2.9.2015	05:19:40	1441171180
81.66	93.8	66.6	29.1	15.9	0.19352	2.9.2015	05:19:42	1441171182
82.01	93.78	66.8	28.71	15.9	0.19311	2.9.2015	05:19:43	1441171183
81.33	93.7	66.7	28.71	15.94	0.19253	2.9.2015	05:19:44	1441171184
81.2	93.41	66.7	29.1	15.93	0.19314	2.9.2015	05:19:45	1441171185
81.96	93.48	66.31	29.1	15.92	0.19314	2.9.2015	05:19:46	1441171186
81.82	93.12	66.8	29.1	15.93	0.19265	2.9.2015	05:19:47	1441171187
81.84	93.19	67.19	29.2	15.91	0.19304	2.9.2015	05:19:49	1441171189
81.33	93.33	67.29	29.2	15.92	0.19269	2.9.2015	05:19:50	1441171190
81.34	93.29	67.38	28.61	15.91	0.1934	2.9.2015	05:19:51	1441171191
81.22	93.03	67.29	28.32	15.91	0.19363	2.9.2015	05:19:52	1441171192
80.98	92.8	66.99	28.71	15.93	0.19317	2.9.2015	05:19:53	1441171193
81.19	93.11	66.89	28.81	15.91	0.19321	2.9.2015	05:19:54	1441171194
81.42	93.15	67.29	28.91	15.91	0.19185	2.9.2015	05:19:56	1441171196
81.42	93.28	66.99	28.91	15.93	0.19367	2.9.2015	05:19:57	1441171197
80.89	93.38	67.38	28.61	15.9	0.19365	2.9.2015	05:19:58	1441171198
80.75	93.44	67.48	28.52	15.93	0.19296	2.9.2015	05:19:59	1441171199
81.33	93.41	67.19	29.39	15.92	0.19316	2.9.2015	05:20:00	1441171200
81.26	92.92	66.8	28.71	15.91	0.19246	2.9.2015	05:20:01	1441171201
81.58	93.11	67.29	28.81	15.93	0.19273	2.9.2015	05:20:02	1441171202
81.47	92.99	67.19	29	15.92	0.19308	2.9.2015	05:20:04	1441171204
81.29	93.15	67.29	28.91	15.92	0.19268	2.9.2015	05:20:05	1441171205
80.77	93.12	66.99	28.42	15.92	0.19224	2.9.2015	05:20:06	1441171206
81.06	93.24	67.38	29.1	15.92	0.19334	2.9.2015	05:20:07	1441171207
80.97	93.21	66.8	28.52	15.93	0.19288	2.9.2015	05:20:08	1441171208
80.83	93.9	67.58	27.54	15.9	0.19259	2.9.2015	05:20:09	1441171209
81.14	93.4	66.8	28.81	15.91	0.19332	2.9.2015	05:20:11	1441171211
81.02	93.73	66.41	28.91	15.92	0.19268	2.9.2015	05:20:12	1441171212
80.63	94.01	67.09	29.1	15.91	0.19311	2.9.2015	05:20:13	1441171213
80.63	93.88	67.38	28.91	15.92	0.19343	2.9.2015	05:20:14	1441171214
80.97	94.08	67.48	28.91	15.92	0.19381	2.9.2015	05:20:15	1441171215
81.08	94.41	65.92	29.39	15.93	0.19318	2.9.2015	05:20:16	1441171216
81.01	94.56	67.09	28.22	15.95	0.1923	2.9.2015	05:20:17	1441171217
81.17	94.64	67.58	29.98	15.94	0.19345	2.9.2015	05:20:19	1441171219
81.35	95.14	68.36	28.71	15.92	0.19286	2.9.2015	05:20:20	1441171220
80.49	94.56	69.14	29.69	15.95	0.19291	2.9.2015	05:20:21	1441171221
80.87	94.11	66.99	28.61	15.92	0.19251	2.9.2015	05:20:22	1441171222
80.65	93.91	67.58	28.91	15.93	0.19414	2.9.2015	05:20:23	1441171223
81.11	93.86	67.48	28.71	15.94	0.19226	2.9.2015	05:20:24	1441171224
80.5	93.92	66.99	28.42	15.92	0.19358	2.9.2015	05:20:26	1441171226
81.09	93.96	65.82	29.2	15.95	0.19333	2.9.2015	05:20:27	1441171227
81.05	93.54	66.11	29.1	15.94	0.1932	2.9.2015	05:20:28	1441171228
81.43	94.1	67.29	28.52	15.93	0.1934	2.9.2015	05:20:29	1441171229
81.46	94.41	66.31	27.44	15.96	0.19365	2.9.2015	05:20:30	1441171230
81.02	94.26	68.36	29.39	15.93	0.19299	2.9.2015	05:20:31	1441171231
81	94.16	67.19	28.52	15.94	0.19373	2.9.2015	05:20:32	1441171232
80.56	94.01	67.38	28.91	15.93	0.1921	2.9.2015	05:20:34	1441171234
80.71	93.67	67.38	27.93	15.93	0.19285	2.9.2015	05:20:35	1441171235
81.13	94.3	68.07	29.39	15.95	0.19349	2.9.2015	05:20:36	1441171236
80.63	93.33	67.58	29	15.95	0.19346	2.9.2015	05:20:37	1441171237
80.74	93.92	68.07	28.81	15.94	0.19385	2.9.2015	05:20:38	1441171238
80.85	94.09	68.65	28.81	15.95	0.19247	2.9.2015	05:20:39	1441171239
80.85	94.57	67.68	29.2	15.94	0.19332	2.9.2015	05:20:41	1441171241
81.22	94.3	68.75	28.03	15.96	0.19397	2.9.2015	05:20:42	1441171242
80.48	94.48	68.55	28.81	15.95	0.19329	2.9.2015	05:20:43	1441171243
80.92	94.58	68.75	28.03	15.93	0.19293	2.9.2015	05:20:44	1441171244
80.39	94.37	69.04	28.32	15.94	0.19403	2.9.2015	05:20:45	1441171245
80.61	94.63	69.14	29.49	15.96	0.19344	2.9.2015	05:20:46	1441171246
80.85	94.42	68.95	28.22	15.94	0.19377	2.9.2015	05:20:48	1441171248
80.53	94.15	68.65	28.22	15.95	0.19323	2.9.2015	05:20:49	1441171249
80.49	93.91	69.04	28.42	15.96	0.1938	2.9.2015	05:20:50	1441171250
80.08	93.83	68.36	28.32	15.94	0.19325	2.9.2015	05:20:51	1441171251
79.86	93.7	69.43	28.22	15.94	0.19342	2.9.2015	05:20:52	1441171252
80.52	93.95	69.82	28.12	15.93	0.19298	2.9.2015	05:20:53	1441171253
80.31	93.64	71.97	28.22	15.91	0.1924	2.9.2015	05:20:54	1441171254
80.41	93.28	71.97	27.54	15.91	0.19004	2.9.2015	05:20:56	1441171256
80.44	93.46	71.09	28.32	15.94	0.19298	2.9.2015	05:20:57	1441171257
80.88	93.67	72.75	28.03	15.93	0.19229	2.9.2015	05:20:58	1441171258
80.56	93.45	73.63	28.52	15.92	0.19266	2.9.2015	05:20:59	1441171259
80.12	93.85	71.97	27.54	15.94	0.19325	2.9.2015	05:21:00	1441171260
80.77	93.89	72.66	27.93	15.95	0.19263	2.9.2015	05:21:01	1441171261
