1=clockwise	mantisse_flowrate	exponent_flowrate	temperature_top	temperature_bottom	temperature_spiral_middle_outlet	temperature_spiral_edge_outlet	voltage	current	European_standard_time_date	European_standard_time_of_day	time_t
1	3600	-2	71.07	71.71	53.32	36.72	16.66	0.18893	3.9.2015	14:31:20	1441290680
1	3600	-2	71.22	71.78	53.22	37.5	16.66	0.18843	3.9.2015	14:31:21	1441290681
1	3600	-2	71.07	71.87	53.32	36.91	16.68	0.189	3.9.2015	14:31:23	1441290683
1	3600	-2	71.05	71.61	53.71	37.01	16.68	0.18844	3.9.2015	14:31:24	1441290684
1	3600	-2	71.03	71.98	52.93	37.4	16.69	0.18716	3.9.2015	14:31:25	1441290685
1	3600	-2	70.98	72.23	52.93	36.82	16.67	0.1897	3.9.2015	14:31:26	1441290686
1	3600	-2	70.98	71.9	53.13	36.23	16.68	0.18865	3.9.2015	14:31:27	1441290687
1	3600	-2	71.17	71.79	52.73	37.21	16.68	0.18865	3.9.2015	14:31:28	1441290688
1	3600	-2	70.72	71.75	53.32	37.4	16.68	0.18893	3.9.2015	14:31:29	1441290689
1	3600	-2	70.81	71.31	52.83	37.4	16.67	0.18919	3.9.2015	14:31:31	1441290691
1	3600	-2	70.74	70.96	53.22	37.11	16.72	0.18984	3.9.2015	14:31:32	1441290692
1	3600	-2	70.71	71.03	53.32	37.4	16.66	0.18822	3.9.2015	14:31:33	1441290693
1	3600	-2	70.77	70.74	53.13	37.01	16.66	0.18836	3.9.2015	14:31:34	1441290694
1	3600	-2	70.62	70.65	52.83	37.01	16.7	0.18819	3.9.2015	14:31:35	1441290695
1	3600	-2	70.74	70.64	52.25	37.4	16.66	0.18815	3.9.2015	14:31:36	1441290696
1	3600	-2	70.4	70.59	52.25	37.3	16.69	0.18807	3.9.2015	14:31:38	1441290698
1	3600	-2	70.69	70.79	51.95	37.89	16.7	0.1881	3.9.2015	14:31:39	1441290699
1	3600	-2	70.55	70.55	51.56	37.6	16.66	0.18827	3.9.2015	14:31:40	1441290700
1	3600	-2	70.6	70.16	51.86	37.11	16.68	0.18877	3.9.2015	14:31:41	1441290701
1	3600	-2	70.39	70.08	51.95	36.91	16.68	0.18879	3.9.2015	14:31:42	1441290702
1	3600	-2	70.39	69.96	51.66	37.11	16.69	0.18958	3.9.2015	14:31:43	1441290703
1	3600	-2	70.31	69.89	51.66	36.91	16.71	0.18859	3.9.2015	14:31:45	1441290705
1	3600	-2	70.2	69.62	51.95	37.11	16.66	0.18863	3.9.2015	14:31:46	1441290706
1	3600	-2	70.24	70.05	51.56	36.91	16.71	0.18888	3.9.2015	14:31:47	1441290707
1	3600	-2	70.18	69.87	51.17	37.7	16.69	0.1884	3.9.2015	14:31:48	1441290708
1	3600	-2	69.96	69.82	51.27	37.01	16.68	0.18804	3.9.2015	14:31:49	1441290709
1	3600	-2	70.06	69.49	51.95	37.6	16.72	0.18846	3.9.2015	14:31:50	1441290710
1	3600	-2	70.06	69.68	51.07	37.3	16.68	0.18834	3.9.2015	14:31:51	1441290711
1	3600	-2	69.87	69.45	51.66	37.4	16.71	0.18822	3.9.2015	14:31:53	1441290713
1	3600	-2	69.78	69.53	51.07	38.18	16.71	0.18875	3.9.2015	14:31:54	1441290714
1	3600	-2	69.96	69.58	50.68	37.6	16.67	0.18781	3.9.2015	14:31:55	1441290715
1	3600	-2	69.82	69.76	51.17	37.89	16.69	0.18823	3.9.2015	14:31:56	1441290716
1	3600	-2	69.84	70.17	50.68	37.6	16.7	0.18883	3.9.2015	14:31:57	1441290717
1	3600	-2	69.87	70.19	50.78	38.09	16.67	0.18925	3.9.2015	14:31:58	1441290718
